stage번호,Character_Enum,DialogueIcon_Index,Script,"endCallback 유무(1, 0)",endCallback 번호,"selection 유무(1, 0)",1번 선택지,1번 콜백번호,2번 선택지,2번 콜백번호
1,404,0,너구나? 이번 게임 참가자가,0,,0,,,,
1,1001,0,아저씨는 누구세요?,0,,0,,,,
1,1002,0,내 이름은 문덕배다,0,,0,,,,
1,1002,0,여기 관리인이라고 생각하면 돼,0,,0,,,,
1,1002,0,일단 이 코인을 받아라.,0,,1,물건 받기,9,일단 주는대로 받기,9
1,1002,0,규칙은 매우 간단해,0,,0,,,,
1,1002,0,오늘부터 30일 안에 그 코인 1만개를 모으면 된다,0,,0,,,,
1,1002,0,그럼 100억을 받고 여기서 나갈 수 있지,0,,0,,,,
1,1002,0,그럼 그 코인이 개당100만원인 화폐라고 생각하면 되겠네,0,,0,,,,
1,1002,0,본 게임은 내일부터 할거니까 오늘은 주변이나 둘러보고,0,,0,,,,
1,1002,0,더 궁금한거 있냐?,0,,1,제게 조언해주실 게 있나요?,6,아니요 괜찮아요.,1
1,1002,0,저기 보이는 상자를 자주 열어봐라,0,,0,,,,
1,1002,0,네놈한테 도움 되는게 있을거다,0,,0,,,,
2,1002,0,카지노 입장권은 잘 챙겨 왔겠지?,0,,0,,,,
2,1002,0,좋아. 지금부터 카지노에 갈 수 있게 해주마,0,,0,,,,
2,1002,0,카지노에 가면 여러 게임이 있는데 그중에 네놈이 자신 있는 걸 하면 돼,0,,0,,,,
2,1002,0,타짜노릇을 해도 걸리지만 않으면 괜찮지,0,,0,,,,
2,1002,0,하지만 절대 걸려서도 안된다. _절대로,0,,0,,,,
2,1002,0,바로 시작할거냐?,0,,1,카지노로 갑시다,10,다시 설명해주세요,12
3,1002,0,오늘은 코인을 얻을 다른 방법을 알려주마,0,,0,,,,
3,1002,0,지금부터 우리가 관리하는 섬에 갈 수 있게 해주마,0,,0,,,,
3,1002,0,거기서 네놈이 무엇을 보든 함구해야 할거야,0,,0,,,,
3,1002,0,거기서 얻은 물건을 컴퓨터로 블랙마켓에 접속해서 팔아봐,0,,0,,,,
3,1002,0,잘 찾아보면 몇억짜리를 구할 수도 있을걸?,0,,0,,,,
3,1002,0,바로 시작할거냐?,0,,1,돈벌러 바로 가봅시다,11,다시 설명해주세요,12
